ʵ�����,���,ʵ������,����ͼFID,��ǩͼFID,Ԥѵ�����,��ʽѵ�����,����ʱ��,PSNR,SSIM,EMD,NRMS,ROC,PRC,��ע
GAN_FCN,1,Sat Jun 24 00:24:53 2023,171.308141867598,180.20575696919,50000,150000,1.78928279876709,26.6249277183528,0.77571978698831,0.005191741075588,0.04968045593413,0.687760814765326,0.757502895712209,"跑congestion任务,batchsize=16"
GAN_FCN,2,Sat Jul  8 14:40:56 2023,0,0,100000,100000,6438.31520724297,27.0036960949657,0.781239232274821,0.005049967773343,0.048066530179866,0.706410987723456,0.77119089250331,使用attention机制在两个skip上，正式训练的学习率调整为1e-4，不采取预训练
GAN_FCN,3,Sat Jul  8 21:22:34 2023,0,0,100000,100000,6433.13194513321,27.0783646316101,0.782189955717651,0.005016401240557,0.047813562950833,0.711016847526708,0.773458528577458,原始模型，正式训练的学习率调整为1e-4，不采取预训练
GAN_FCN,4,Tue Jul 11 16:35:50 2023,0,0,50000,50000,2300.88196706772,27.0858271590826,0.782839309642677,0.005031491689827,0.047692777157753,0.710726624989662,0.775355251270594,"baseline实验,训练次数10w次,batchsize=8"
GAN_FCN,5,Fri Jul 28 15:59:41 2023,0,0,50000,38100,1904.2890486717224,27.09852732420731,0.7829804905745542,0.005013967735878888,0.04780926640409153,baselineFCN实验，batchsize=8，epoch=100
GAN_FCN,5,Fri Jul 28 16:45:44 2023,0,0,50000,38100,9.416202068328857,27.098527320173883,0.7829804932182715,0.005013967848909188,0.04780926642023354,0.7097905459873354,0.7735278758681363,baselineFCN实验，batchsize=8，epoch=100
GAN_FCN,6,Sat Jul 29 12:56:50 2023,0,0,50000,38100,2013.3669373989105,31.09592244047604,0.8731129135040848,0.004360608780345977,0.03159401378585612,0.43325496722019574,-0.03852317659965053,CircuiNet14数据集，baselineFCN实验，batchsize=8，epoch=100
GAN_FCN,7,Sat Jul 29 14:19:38 2023,0,0,50000,38100,3547.4205181598663,31.13093643984177,0.8746672949041273,0.005044097098679588,0.031115940979283708,0.4218848037405473,0.7707097972301359,CircuiNet14数据集，baselineFCN实验，batchsize=16，epoch=100
GAN_FCN,8,Sat Jul 29 17:38:04 2023,0,0,50000,38100,3195.287028312683,31.175027022137453,0.8763526527460739,0.004833075029407432,0.030985968286451494,0.3738679145063759,3.7180354296760236,CircuiNet14数据集，baselineFCN实验，batchsize=16，epoch=100
GAN_FCN,9,Tue Aug  1 17:06:30 2023,0,0,50000,70000,1.7314095497131348,27.01330888445238,0.7831395330813158,0.005018046735662275,0.0479135997111026,0.7145588459218111,0.7747489949607275,baseline第一次实验，batchsize=8，epoch=80
GAN_FCN,10,Tue Aug  1 19:20:49 2023,0,0,50000,70000,1.7487268447875977,27.11359517341382,0.7836589516621629,0.004932897130095703,0.047605327034373715,0.7156271738767062,0.8109893680900757,baseline第一次实验，batchsize=8，不加载生成数据，epoch=80
GAN_FCN,11,Tue Aug  1 19:20:34 2023,0,0,50000,70000,2077.096927881241,27.102554209265264,0.7830863578022617,0.004969539481077423,0.04768053249838765,0.7183273592992596,0.7797900278514222,baseline第二次实验，batchsize=8，epoch=80
GAN_FCN,12,Tue Aug  1 20:11:32 2023,0,0,50000,70000,1888.5561213493347,27.07066294209837,0.7832384821496896,0.004914588519806506,0.047725805962617655,0.7175620217244447,0.7768153209874137,baseline第二次实验，batchsize=8，不加载生成数据，epoch=80
GAN_FCN,13,Tue Aug  1 20:49:28 2023,0,0,50000,70000,1993.2024240493774,27.128838144076507,0.7822418743019243,0.004954971985328665,0.04769694024436164,0.7203333540711188,0.7722962058626882,baseline第三次实验，batchsize=8，epoch=80
GAN_FCN,14,Tue Aug  1 21:36:04 2023,0,0,50000,70000,2011.0051476955414,27.115477932544923,0.7832095688398042,0.0049197501991551686,0.04765830913345256,0.717037925361466,0.7761866971259884,baseline第三次实验，batchsize=8，不加载生成数据，epoch=80
GAN_FCN,15,Tue Aug  1 22:35:17 2023,0,0,50000,70000,2806.720778465271,26.96257062721339,0.7804762361724564,0.005075589557061756,0.04813557816423974,0.7015043325069713,0.7705354766711132,baseline第一次实验，batchsize=16，epoch=80
GAN_FCN,16,Tue Aug  1 23:18:13 2023,0,0,50000,70000,2830.8838357925415,26.99587390950206,0.7808884645810004,0.005081874908297764,0.04808999511721496,0.7111756492359899,0.770405551811439,baseline第三次实验，batchsize=16，不加载生成数据，epoch=80
SegmTransformer,1,Fri Jul 21 17:50:38 2023,0,0,50000,50000,,26.913305767221,0.76537806652451,0.00314967735528,0.050703391683526,0.733399360920968,0.68188663864582,"test,测试epoch=4的模型"
SegmTransformer,2,Sat Jul 22 12:19:00 2023,0,0,50000,50000,0h 8min 3.7609293460845947second,27.4609397056145,0.786615716266985,0.003181640741647,0.047088936367968,0.742269469022098,0.73187976237959,"尝试跑一遍以真实数据为主的模型,加载了vit_tiny模型"
SegmTransformer,3,Sat Jul 22 12:36:21 2023,0,0,50000,50000,3h 25min 13.087471723556519second,25.5424751724661,0.76158526899908,0.005480913386484,0.055795483215942,0.601508565012612,0.66832151767574,不加载预训练模型，在5倍生成数据上跑
SegmTransformer,4,Sat Jul 22 13:33:04 2023,0,0,50000,50000,0h 15min 20.7281494140625second,27.4315358983001,0.781985042464912,0.003736276014716,0.047502624709814,0.742015894440742,0.753940151202348,"不加载vit_tiny模型,独自跑一遍,loss为mse"
SegmTransformer,5,Sun Jul 23 10:59:37 2023,0,0,50000,50000,0h 7min 33.776939392089844second,27.1625366393374,0.783454556363367,0.002943919898587,0.048473198539534,0.732881319194702,0.749510493409053,加载以生成数据为训练集的预训练模型
SegmTransformer,6,Mon Jul 24 22:13:34 2023,0,0,50000,50000,0h 9min 5.787702322006226second,27.471532836330994,0.7844984173227294,0.0030539152595095626,0.04682449950226209,0.7351145384677595,4.918891957345169,"不加载vit_tiny模型,独自跑一遍,vit_small16"
SegmTransformer,7,Tue Jul 25 00:13:00 2023,0,0,50000,50000,0h 9min 8.316093683242798second,27.55258286363732,0.7872476454377544,0.0028411630734179625,0.046668796459877204,0.7296149863227539,0.7651419869828385,"加载vit_small模型,vit_small16"
